,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025
Promoters,46.4,46.4,46.39,46.39,46.39,46.38,46.37,46.36,46.36,42.58,42.58
FIIs,13.71,14.13,13.89,15.34,17.72,18.4,18.62,19.2,18.18,20.54,18.66
DIIs,15.17,14.75,15.21,17.69,17.38,17.37,17.25,16.01,15.93,16.08,16.54
Government,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.31
Public,24.57,24.58,24.36,20.41,18.38,17.7,17.6,18.31,19.39,20.49,21.91
No. of Shareholders,4008506,3976830,3993043,3814831,3502408,3773314,4184369,4616908,5098550,5727234,6462123
